model,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,params,flops_per_series,sec_per_epoch,peak_gpu_mem_mb,epochs_run,lookback_label
rlinear,ETTh2,336,96,2022,0.28101,0.342551,0.209132,32354,64512,1.0381,70.1,7,L336
rlinear,ETTh2,336,96,2023,0.281671,0.341605,0.207917,32354,64512,1.0389,70.1,6,L336
fits,ETTh2,336,96,2021,0.284398,0.345221,0.22062,4644,18144,1.0563,70.8,19,L336
fits,ETTh2,336,96,2022,0.285684,0.345797,0.221083,4644,18144,1.0566,70.8,19,L336
fits,ETTh2,336,96,2023,0.285222,0.345812,0.221098,4644,18144,1.0468,70.8,19,L336
patchtst,ETTh2,336,96,2021,0.363382,0.388385,0.233047,328866,0,3.2867,154.1,5,L336
patchtst,ETTh2,336,96,2022,0.332446,0.37324,0.228664,328866,0,3.2492,154.1,4,L336
patchtst,ETTh2,336,96,2023,0.341183,0.382976,0.222131,328866,0,6.0041,154.1,5,L336
naive,ETTh2,336,192,2021,0.533722,0.472538,0.385814,0,0,0.0,68.1,0,L336
naive,ETTh2,336,192,2022,0.533722,0.472538,0.385814,0,0,0.0,68.1,0,L336
naive,ETTh2,336,192,2023,0.533722,0.472538,0.385814,0,0,0.0,68.1,0,L336
nlinear,ETTh2,336,192,2021,0.345011,0.384663,0.27906,64704,129024,1.768,71.4,9,L336
nlinear,ETTh2,336,192,2022,0.346229,0.385224,0.278822,64704,129024,0.6517,71.4,8,L336
nlinear,ETTh2,336,192,2023,0.350371,0.387193,0.278088,64704,129024,0.6874,71.4,6,L336
dlinear,ETTh2,336,192,2021,0.380131,0.417602,0.297587,129408,258048,0.9249,72.9,8,L336
dlinear,ETTh2,336,192,2022,0.380617,0.415816,0.301095,129408,258048,0.935,72.9,4,L336
dlinear,ETTh2,336,192,2023,0.395112,0.426001,0.303823,129408,258048,0.9239,72.9,12,L336
rlinear,ETTh2,336,192,2021,0.34092,0.38217,0.274494,64706,129024,1.0418,71.1,9,L336
rlinear,ETTh2,336,192,2022,0.364339,0.39327,0.274433,64706,129024,1.0627,71.1,4,L336
rlinear,ETTh2,336,192,2023,0.341244,0.382265,0.274361,64706,129024,1.0295,71.1,9,L336
fits,ETTh2,336,192,2021,0.344011,0.383056,0.290037,5676,22176,0.9697,71.6,19,L336
fits,ETTh2,336,192,2022,0.344897,0.383866,0.29117,5676,22176,0.95,71.6,19,L336
fits,ETTh2,336,192,2023,0.344494,0.383473,0.290354,5676,22176,0.9298,71.6,19,L336
patchtst,ETTh2,336,192,2021,0.419955,0.423354,0.313758,587010,0,3.3125,158.4,4,L336
patchtst,ETTh2,336,192,2022,0.452816,0.442997,0.316446,587010,0,3.3291,158.4,6,L336
patchtst,ETTh2,336,192,2023,0.395627,0.419331,0.303,587010,0,3.3322,158.4,4,L336
naive,ETTh2,336,336,2021,0.597277,0.510865,0.477049,0,0,0.0,68.6,0,L336
naive,ETTh2,336,336,2022,0.597277,0.510865,0.477049,0,0,0.0,68.6,0,L336
naive,ETTh2,336,336,2023,0.597277,0.510865,0.477049,0,0,0.0,68.6,0,L336
nlinear,ETTh2,336,336,2021,0.398194,0.421145,0.367262,113232,225792,0.6468,73.0,5,L336
nlinear,ETTh2,336,336,2022,0.3718,0.409423,0.36806,113232,225792,0.6434,73.0,7,L336
nlinear,ETTh2,336,336,2023,0.383344,0.415237,0.363805,113232,225792,0.6706,73.0,6,L336
dlinear,ETTh2,336,336,2021,0.464075,0.47526,0.407833,226464,451584,0.7696,75.4,4,L336
dlinear,ETTh2,336,336,2022,0.451328,0.465863,0.408804,226464,451584,0.7642,75.4,4,L336
dlinear,ETTh2,336,336,2023,0.454807,0.467076,0.39619,226464,451584,0.8257,75.4,7,L336
rlinear,ETTh2,336,336,2021,0.364612,0.405118,0.362323,113234,225792,0.9707,72.7,8,L336
rlinear,ETTh2,336,336,2022,0.370527,0.407616,0.362417,113234,225792,0.9678,72.7,5,L336
rlinear,ETTh2,336,336,2023,0.371721,0.408943,0.359617,113234,225792,0.9773,72.7,6,L336
fits,ETTh2,336,336,2021,0.364581,0.401674,0.384799,7224,28224,0.9301,72.8,19,L336
fits,ETTh2,336,336,2022,0.363902,0.401301,0.38522,7224,28224,0.9126,72.8,19,L336
fits,ETTh2,336,336,2023,0.363856,0.40111,0.384256,7224,28224,0.9032,72.8,19,L336
patchtst,ETTh2,336,336,2021,0.434927,0.442848,0.39638,974226,0,3.3716,165.1,5,L336
patchtst,ETTh2,336,336,2022,0.425783,0.437664,0.410073,974226,0,3.3391,165.1,4,L336
patchtst,ETTh2,336,336,2023,0.436068,0.438458,0.400495,974226,0,3.328,165.1,4,L336
naive,ETTh2,336,720,2021,0.594472,0.518991,0.740687,0,0,0.0,70.0,0,L336
naive,ETTh2,336,720,2022,0.594472,0.518991,0.740687,0,0,0.0,70.0,0,L336
naive,ETTh2,336,720,2023,0.594472,0.518991,0.740687,0,0,0.0,70.0,0,L336
nlinear,ETTh2,336,720,2021,0.414724,0.444924,0.610492,242640,483840,0.6362,77.1,4,L336
nlinear,ETTh2,336,720,2022,0.403676,0.441381,0.609708,242640,483840,0.6412,77.1,7,L336
nlinear,ETTh2,336,720,2023,0.402396,0.440931,0.613093,242640,483840,0.6441,77.1,13,L336
dlinear,ETTh2,336,720,2021,0.717472,0.601356,0.673535,485280,967680,0.7516,81.9,6,L336
dlinear,ETTh2,336,720,2022,0.714615,0.59993,0.664458,485280,967680,0.7803,81.9,8,L336
dlinear,ETTh2,336,720,2023,0.669935,0.580578,0.661195,485280,967680,0.765,81.9,4,L336
rlinear,ETTh2,336,720,2021,0.3959,0.433245,0.607783,242642,483840,0.8355,77.7,9,L336
rlinear,ETTh2,336,720,2022,0.396169,0.43315,0.605583,242642,483840,0.8411,77.7,7,L336
rlinear,ETTh2,336,720,2023,0.397559,0.433635,0.605598,242642,483840,0.8245,77.7,6,L336
fits,ETTh2,336,720,2021,0.39138,0.427,0.651303,11352,44352,0.9573,76.1,20,L336
fits,ETTh2,336,720,2022,0.390888,0.426719,0.650927,11352,44352,0.9858,76.1,20,L336
fits,ETTh2,336,720,2023,0.391535,0.42716,0.651417,11352,44352,0.9952,76.1,20,L336
patchtst,ETTh2,336,720,2021,0.438481,0.455937,0.658582,2006802,0,3.3977,183.4,4,L336
patchtst,ETTh2,336,720,2022,0.406393,0.439868,0.658193,2006802,0,3.3711,183.4,4,L336
patchtst,ETTh2,336,720,2023,0.418093,0.444598,0.682525,2006802,0,3.3837,183.4,4,L336
naive,ETTm1,336,96,2021,1.213897,0.664785,1.249652,0,0,0.0,67.8,0,L336
naive,ETTm1,336,96,2022,1.213897,0.664785,1.249652,0,0,0.0,67.8,0,L336
naive,ETTm1,336,96,2023,1.213897,0.664785,1.249652,0,0,0.0,67.8,0,L336
nlinear,ETTm1,336,96,2021,0.302889,0.344742,0.390734,32352,64512,2.7664,70.4,8,L336
nlinear,ETTm1,336,96,2022,0.306063,0.348037,0.389657,32352,64512,2.7745,70.4,6,L336
nlinear,ETTm1,336,96,2023,0.305856,0.347816,0.390799,32352,64512,2.8191,70.4,8,L336
dlinear,ETTm1,336,96,2021,0.299964,0.343433,0.380239,64704,129024,3.5441,71.3,9,L336
dlinear,ETTm1,336,96,2022,0.301302,0.344318,0.381058,64704,129024,3.471,71.3,7,L336
dlinear,ETTm1,336,96,2023,0.299532,0.343562,0.381428,64704,129024,3.2613,71.3,12,L336
rlinear,ETTm1,336,96,2021,0.303292,0.344987,0.389572,32354,64512,3.6755,70.1,7,L336
rlinear,ETTm1,336,96,2022,0.302055,0.34402,0.389153,32354,64512,3.6471,70.1,8,L336
rlinear,ETTm1,336,96,2023,0.309402,0.349744,0.391752,32354,64512,3.7122,70.1,5,L336
fits,ETTm1,336,96,2021,0.303709,0.345712,0.395406,4644,18144,4.0426,70.8,18,L336
fits,ETTm1,336,96,2022,0.303908,0.345854,0.394967,4644,18144,3.9465,70.8,7,L336
fits,ETTm1,336,96,2023,0.303344,0.345771,0.395028,4644,18144,3.8765,70.8,7,L336
patchtst,ETTm1,336,96,2021,0.313854,0.358883,0.391209,328866,0,14.1054,154.1,9,L336
patchtst,ETTm1,336,96,2022,0.288445,0.343849,0.373039,328866,0,14.1335,154.1,5,L336
patchtst,ETTm1,336,96,2023,0.304921,0.354388,0.392966,328866,0,14.0625,154.1,7,L336
naive,ETTm1,336,192,2021,1.261195,0.690363,1.36594,0,0,0.0,68.1,0,L336
naive,ETTm1,336,192,2022,1.261195,0.690363,1.36594,0,0,0.0,68.1,0,L336
naive,ETTm1,336,192,2023,1.261195,0.690363,1.36594,0,0,0.0,68.1,0,L336
nlinear,ETTm1,336,192,2021,0.339892,0.367324,0.506452,64704,129024,3.3085,71.4,9,L336
nlinear,ETTm1,336,192,2022,0.346754,0.373381,0.505588,64704,129024,3.3211,71.4,5,L336
nlinear,ETTm1,336,192,2023,0.342165,0.369283,0.507435,64704,129024,3.2904,71.4,6,L336
dlinear,ETTm1,336,192,2021,0.338577,0.367903,0.487997,129408,258048,3.5146,72.9,6,L336
dlinear,ETTm1,336,192,2022,0.335184,0.364999,0.488574,129408,258048,3.4889,72.9,8,L336
dlinear,ETTm1,336,192,2023,0.338577,0.371558,0.486184,129408,258048,3.3355,72.9,6,L336
rlinear,ETTm1,336,192,2021,0.336688,0.364343,0.507185,64706,129024,4.2475,71.1,20,L336
rlinear,ETTm1,336,192,2022,0.341233,0.368869,0.506389,64706,129024,4.3761,71.1,5,L336
rlinear,ETTm1,336,192,2023,0.336977,0.364534,0.506296,64706,129024,4.3179,71.1,10,L336
fits,ETTm1,336,192,2021,0.338258,0.365719,0.511621,5676,22176,3.7258,71.6,7,L336
fits,ETTm1,336,192,2022,0.337875,0.365485,0.511388,5676,22176,3.8817,71.6,18,L336
fits,ETTm1,336,192,2023,0.338492,0.365724,0.511059,5676,22176,4.7579,71.6,6,L336
patchtst,ETTm1,336,192,2021,0.346261,0.382668,0.502272,587010,0,14.3359,158.4,5,L336
patchtst,ETTm1,336,192,2022,0.346036,0.383179,0.521188,587010,0,14.6056,158.4,6,L336
patchtst,ETTm1,336,192,2023,0.343656,0.377443,0.506381,587010,0,14.0491,158.4,4,L336
naive,ETTm1,336,336,2021,1.286579,0.707238,1.510174,0,0,0.0,68.6,0,L336
naive,ETTm1,336,336,2022,1.286579,0.707238,1.510174,0,0,0.0,68.6,0,L336
naive,ETTm1,336,336,2023,1.286579,0.707238,1.510174,0,0,0.0,68.6,0,L336
nlinear,ETTm1,336,336,2021,0.375273,0.387267,0.651258,113232,225792,2.7175,73.0,7,L336
nlinear,ETTm1,336,336,2022,0.373298,0.386273,0.650741,113232,225792,3.0138,73.0,10,L336
nlinear,ETTm1,336,336,2023,0.372275,0.385362,0.652119,113232,225792,3.3297,73.0,10,L336
dlinear,ETTm1,336,336,2021,0.371735,0.389244,0.611393,226464,451584,3.8768,75.4,7,L336
dlinear,ETTm1,336,336,2022,0.372085,0.390214,0.607732,226464,451584,3.7088,75.4,7,L336
dlinear,ETTm1,336,336,2023,0.370985,0.389097,0.611141,226464,451584,3.2167,75.4,8,L336
rlinear,ETTm1,336,336,2021,0.373537,0.386119,0.651698,113234,225792,3.4912,72.7,7,L336
rlinear,ETTm1,336,336,2022,0.373588,0.386409,0.651479,113234,225792,3.5147,72.7,6,L336
rlinear,ETTm1,336,336,2023,0.37235,0.385172,0.650672,113234,225792,3.7654,72.7,9,L336
fits,ETTm1,336,336,2021,0.372278,0.384959,0.655977,7224,28224,4.66,72.8,17,L336
fits,ETTm1,336,336,2022,0.372202,0.384935,0.655735,7224,28224,3.9883,72.8,18,L336
fits,ETTm1,336,336,2023,0.372206,0.384953,0.655569,7224,28224,4.1327,72.8,17,L336
patchtst,ETTm1,336,336,2021,0.368668,0.394258,0.639581,974226,0,14.5213,165.1,4,L336
patchtst,ETTm1,336,336,2022,0.386105,0.404174,0.662282,974226,0,14.5554,165.1,4,L336
patchtst,ETTm1,336,336,2023,0.387964,0.404666,0.675532,974226,0,14.1993,165.1,4,L336
naive,ETTm1,336,720,2021,1.322312,0.729468,1.832082,0,0,0.0,70.0,0,L336
naive,ETTm1,336,720,2022,1.322312,0.729468,1.832082,0,0,0.0,70.0,0,L336
naive,ETTm1,336,720,2023,1.322312,0.729468,1.832082,0,0,0.0,70.0,0,L336
nlinear,ETTm1,336,720,2021,0.429649,0.418208,0.9618,242640,483840,2.7539,77.1,9,L336
nlinear,ETTm1,336,720,2022,0.433949,0.421058,0.962582,242640,483840,2.9229,77.1,6,L336
nlinear,ETTm1,336,720,2023,0.429272,0.418453,0.9605,242640,483840,3.3607,77.1,9,L336
dlinear,ETTm1,336,720,2021,0.426149,0.42214,0.861249,485280,967680,3.888,81.9,7,L336
dlinear,ETTm1,336,720,2022,0.424715,0.420329,0.864203,485280,967680,3.875,81.9,10,L336
dlinear,ETTm1,336,720,2023,0.432495,0.430892,0.850567,485280,967680,3.3673,81.9,5,L336
rlinear,ETTm1,336,720,2021,0.429021,0.417512,0.961007,242642,483840,3.7829,77.7,9,L336
rlinear,ETTm1,336,720,2022,0.433975,0.419546,0.962283,242642,483840,3.744,77.7,6,L336
rlinear,ETTm1,336,720,2023,0.429295,0.417392,0.9609,242642,483840,3.7876,77.7,8,L336
fits,ETTm1,336,720,2021,0.427541,0.416351,0.963891,11352,44352,4.7163,76.1,17,L336
fits,ETTm1,336,720,2022,0.427525,0.416356,0.963894,11352,44352,4.1549,76.1,17,L336
fits,ETTm1,336,720,2023,0.427525,0.416325,0.963746,11352,44352,4.3823,76.1,17,L336
patchtst,ETTm1,336,720,2021,0.432247,0.439096,1.015452,2006802,0,15.2123,183.4,4,L336
patchtst,ETTm1,336,720,2022,0.434546,0.439253,1.011142,2006802,0,15.0927,183.4,5,L336
patchtst,ETTm1,336,720,2023,0.420692,0.429161,0.995388,2006802,0,15.0349,183.4,4,L336
naive,ETTm2,336,96,2021,0.266462,0.327765,0.206417,0,0,0.0,67.8,0,L336
naive,ETTm2,336,96,2022,0.266462,0.327765,0.206417,0,0,0.0,67.8,0,L336
naive,ETTm2,336,96,2023,0.266462,0.327765,0.206417,0,0,0.0,67.8,0,L336
nlinear,ETTm2,336,96,2021,0.166958,0.256837,0.118223,32352,64512,182.657,70.4,9,L336
nlinear,ETTm2,336,96,2022,0.167999,0.257187,0.118272,32352,64512,20.2854,70.4,7,L336
nlinear,ETTm2,336,96,2023,0.166795,0.256731,0.118244,32352,64512,3.5906,70.4,13,L336
dlinear,ETTm2,336,96,2021,0.16689,0.262398,0.118895,64704,129024,4.1826,71.3,7,L336
dlinear,ETTm2,336,96,2022,0.170067,0.265883,0.119143,64704,129024,4.8412,71.3,7,L336
dlinear,ETTm2,336,96,2023,0.169977,0.265723,0.11861,64704,129024,3.8188,71.3,7,L336
rlinear,ETTm2,336,96,2021,0.165846,0.255342,0.117591,32354,64512,4.1564,70.1,9,L336
rlinear,ETTm2,336,96,2022,0.165829,0.255214,0.11758,32354,64512,3.7147,70.1,10,L336
rlinear,ETTm2,336,96,2023,0.165756,0.255315,0.117708,32354,64512,3.5639,70.1,14,L336
fits,ETTm2,336,96,2021,0.166939,0.256354,0.117906,4644,18144,3.9688,70.8,19,L336
fits,ETTm2,336,96,2022,0.167049,0.256359,0.117938,4644,18144,4.1591,70.8,18,L336
fits,ETTm2,336,96,2023,0.16735,0.256382,0.11786,4644,18144,3.5485,70.8,6,L336
patchtst,ETTm2,336,96,2021,0.179459,0.262899,0.128796,328866,0,13.7177,154.1,5,L336
patchtst,ETTm2,336,96,2022,0.175022,0.262793,0.128633,328866,0,14.152,154.1,6,L336
patchtst,ETTm2,336,96,2023,0.176079,0.261303,0.125512,328866,0,14.2651,154.1,6,L336
naive,ETTm2,336,192,2021,0.34,0.370673,0.252151,0,0,0.0,68.1,0,L336
naive,ETTm2,336,192,2022,0.34,0.370673,0.252151,0,0,0.0,68.1,0,L336
naive,ETTm2,336,192,2023,0.34,0.370673,0.252151,0,0,0.0,68.1,0,L336
nlinear,ETTm2,336,192,2021,0.222162,0.294211,0.157564,64704,129024,2.6135,71.4,15,L336
nlinear,ETTm2,336,192,2022,0.221691,0.293875,0.157438,64704,129024,2.6868,71.4,11,L336
nlinear,ETTm2,336,192,2023,0.22135,0.293749,0.157421,64704,129024,3.2032,71.4,11,L336
dlinear,ETTm2,336,192,2021,0.229341,0.307214,0.160576,129408,258048,3.9846,72.9,5,L336
dlinear,ETTm2,336,192,2022,0.234753,0.316423,0.162878,129408,258048,3.8104,72.9,10,L336
dlinear,ETTm2,336,192,2023,0.222561,0.299284,0.156739,129408,258048,3.5074,72.9,7,L336
rlinear,ETTm2,336,192,2021,0.220779,0.292418,0.157243,64706,129024,3.9463,71.1,9,L336
rlinear,ETTm2,336,192,2022,0.221326,0.292367,0.157231,64706,129024,4.0255,71.1,9,L336
rlinear,ETTm2,336,192,2023,0.220684,0.292447,0.157373,64706,129024,4.2935,71.1,10,L336
fits,ETTm2,336,192,2021,0.222195,0.292943,0.157418,5676,22176,4.6531,71.6,17,L336
fits,ETTm2,336,192,2022,0.222059,0.292771,0.157405,5676,22176,3.6618,71.6,17,L336
fits,ETTm2,336,192,2023,0.222013,0.292808,0.157311,5676,22176,4.3496,71.6,19,L336
patchtst,ETTm2,336,192,2021,0.247919,0.312997,0.177673,587010,0,1141.692,158.4,5,L336
patchtst,ETTm2,336,192,2022,0.232075,0.30318,0.177863,587010,0,14.2903,158.4,4,L336
patchtst,ETTm2,336,192,2023,0.248301,0.308072,0.176075,587010,0,14.527,158.4,5,L336
naive,ETTm2,336,336,2021,0.412055,0.409911,0.303116,0,0,0.0,68.6,0,L336
naive,ETTm2,336,336,2022,0.412055,0.409911,0.303116,0,0,0.0,68.6,0,L336
naive,ETTm2,336,336,2023,0.412055,0.409911,0.303116,0,0,0.0,68.6,0,L336
nlinear,ETTm2,336,336,2021,0.27603,0.329308,0.200499,113232,225792,3.3922,73.0,11,L336
nlinear,ETTm2,336,336,2022,0.276136,0.329442,0.200587,113232,225792,3.2682,73.0,12,L336
nlinear,ETTm2,336,336,2023,0.276409,0.32914,0.200281,113232,225792,2.782,73.0,8,L336
dlinear,ETTm2,336,336,2021,0.309843,0.37001,0.217043,226464,451584,3.3804,75.4,9,L336
dlinear,ETTm2,336,336,2022,0.278961,0.337044,0.201632,226464,451584,3.1447,75.4,6,L336
dlinear,ETTm2,336,336,2023,0.324223,0.379363,0.222724,226464,451584,3.1127,75.4,4,L336
rlinear,ETTm2,336,336,2021,0.274611,0.327346,0.200545,113234,225792,4.3577,72.7,9,L336
rlinear,ETTm2,336,336,2022,0.274531,0.32767,0.200721,113234,225792,4.5275,72.7,13,L336
rlinear,ETTm2,336,336,2023,0.274811,0.327369,0.200528,113234,225792,4.3701,72.7,8,L336
fits,ETTm2,336,336,2021,0.27488,0.327051,0.200371,7224,28224,4.1905,72.8,17,L336
fits,ETTm2,336,336,2022,0.274952,0.327,0.200442,7224,28224,4.7098,72.8,17,L336
fits,ETTm2,336,336,2023,0.27492,0.327094,0.200423,7224,28224,4.4815,72.8,17,L336
patchtst,ETTm2,336,336,2021,0.300359,0.342656,0.221209,974226,0,14.2856,165.1,4,L336
